bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;bulan;tingkat_inflasi_bulan_ke_bulan;satuan
11;Aceh;1171;Banda Aceh;2020;April;-0,08;Persen
11;Aceh;1171;Banda Aceh;2020;Mei;0,31;Persen
11;Aceh;1171;Banda Aceh;2020;Juni;-0,18;Persen
11;Aceh;1171;Banda Aceh;2020;Juli;-0,34;Persen
11;Aceh;1171;Banda Aceh;2020;Agustus;0,44;Persen
11;Aceh;1171;Banda Aceh;2020;September;-0,32;Persen
11;Aceh;1171;Banda Aceh;2020;Oktober;0,62;Persen
11;Aceh;1171;Banda Aceh;2020;November;0,19;Persen
11;Aceh;1171;Banda Aceh;2020;Desember;0,85;Persen
11;Aceh;1174;Lhokseumawe;2020;Januari;0,08;Persen
11;Aceh;1174;Lhokseumawe;2020;Februari;0,49;Persen
11;Aceh;1174;Lhokseumawe;2020;Maret;0,64;Persen
11;Aceh;1174;Lhokseumawe;2020;April;-0,29;Persen
11;Aceh;1174;Lhokseumawe;2020;Mei;0,05;Persen
11;Aceh;1174;Lhokseumawe;2020;Juni;-0,07;Persen
11;Aceh;1174;Lhokseumawe;2020;Juli;-0,35;Persen
11;Aceh;1174;Lhokseumawe;2020;Agustus;0,3;Persen
11;Aceh;1174;Lhokseumawe;2020;September;0,24;Persen
11;Aceh;1174;Lhokseumawe;2020;Oktober;0,86;Persen
11;Aceh;1174;Lhokseumawe;2020;November;0,3;Persen
11;Aceh;1174;Lhokseumawe;2020;Desember;1,27;Persen
11;Aceh;1107;Meulaboh;2020;Januari;1,44;Persen
11;Aceh;1107;Meulaboh;2020;Februari;-0,1;Persen
11;Aceh;1107;Meulaboh;2020;Maret;0,52;Persen
11;Aceh;1107;Meulaboh;2020;April;-0,22;Persen
11;Aceh;1107;Meulaboh;2020;Mei;0,45;Persen
11;Aceh;1107;Meulaboh;2020;Juni;-0,19;Persen
11;Aceh;1107;Meulaboh;2020;Juli;-0,09;Persen
11;Aceh;1107;Meulaboh;2020;Agustus;0,88;Persen
11;Aceh;1107;Meulaboh;2020;September;0,15;Persen
11;Aceh;1107;Meulaboh;2020;Oktober;0;Persen
11;Aceh;1107;Meulaboh;2020;November;-0,11;Persen
11;Aceh;1107;Meulaboh;2020;Desember;1,02;Persen
11;Aceh;1171;Banda Aceh;2021;Januari;0,77;Persen
11;Aceh;1171;Banda Aceh;2021;Februari;-0,56;Persen
11;Aceh;1171;Banda Aceh;2021;Maret;-0,45;Persen
11;Aceh;1171;Banda Aceh;2021;April;0,53;Persen
11;Aceh;1171;Banda Aceh;2021;Mei;0,17;Persen
11;Aceh;1171;Banda Aceh;2021;Juni;-0,05;Persen
11;Aceh;1171;Banda Aceh;2021;Juli;-0,14;Persen
11;Aceh;1171;Banda Aceh;2021;Agustus;0,26;Persen
11;Aceh;1171;Banda Aceh;2021;September;-0,13;Persen
11;Aceh;1171;Banda Aceh;2021;Oktober;0,38;Persen
11;Aceh;1171;Banda Aceh;2021;November;0,87;Persen
11;Aceh;1171;Banda Aceh;2021;Desember;0,74;Persen
11;Aceh;1174;Lhokseumawe;2021;Januari;0,8;Persen
11;Aceh;1174;Lhokseumawe;2021;Februari;-0,7;Persen
11;Aceh;1174;Lhokseumawe;2021;Maret;-0,09;Persen
11;Aceh;1174;Lhokseumawe;2021;April;0,42;Persen
11;Aceh;1174;Lhokseumawe;2021;Mei;0,19;Persen
11;Aceh;1174;Lhokseumawe;2021;Juni;-0,07;Persen
11;Aceh;1174;Lhokseumawe;2021;Juli;-0,07;Persen
11;Aceh;1174;Lhokseumawe;2021;Agustus;-0,21;Persen
11;Aceh;1174;Lhokseumawe;2021;September;-0,16;Persen
11;Aceh;1174;Lhokseumawe;2021;Oktober;0,45;Persen
11;Aceh;1174;Lhokseumawe;2021;November;0,82;Persen
11;Aceh;1174;Lhokseumawe;2021;Desember;0,59;Persen
11;Aceh;1107;Meulaboh;2021;Januari;0,83;Persen
11;Aceh;1107;Meulaboh;2021;Februari;-0,95;Persen
11;Aceh;1107;Meulaboh;2021;Maret;-0,57;Persen
11;Aceh;1107;Meulaboh;2021;April;0,54;Persen
11;Aceh;1107;Meulaboh;2021;Mei;0,79;Persen
11;Aceh;1107;Meulaboh;2021;Juni;-0,06;Persen
11;Aceh;1107;Meulaboh;2021;Juli;0,2;Persen
11;Aceh;1107;Meulaboh;2021;Agustus;-0,03;Persen
11;Aceh;1107;Meulaboh;2021;September;-0,59;Persen
11;Aceh;1107;Meulaboh;2021;Oktober;0,62;Persen
11;Aceh;1107;Meulaboh;2021;November;0,48;Persen
11;Aceh;1107;Meulaboh;2021;Desember;0,81;Persen
11;Aceh;1171;Banda Aceh;2022;Januari;1,01;Persen
11;Aceh;1171;Banda Aceh;2022;Februari;-0,34;Persen
11;Aceh;1171;Banda Aceh;2022;Maret;0,59;Persen
11;Aceh;1171;Banda Aceh;2022;April;1,23;Persen
11;Aceh;1171;Banda Aceh;2022;Mei;0,92;Persen
11;Aceh;1171;Banda Aceh;2022;Juni;0,76;Persen
11;Aceh;1171;Banda Aceh;2022;Juli;0,98;Persen
11;Aceh;1171;Banda Aceh;2022;Agustus;-0,32;Persen
11;Aceh;1171;Banda Aceh;2022;September;0,78;Persen
11;Aceh;1171;Banda Aceh;2022;Oktober;-0,49;Persen
11;Aceh;1171;Banda Aceh;2022;November;0,11;Persen
11;Aceh;1171;Banda Aceh;2022;Desember;0,64;Persen
11;Aceh;1174;Lhokseumawe;2022;Januari;1,12;Persen
11;Aceh;1174;Lhokseumawe;2022;Februari;-0,99;Persen
11;Aceh;1174;Lhokseumawe;2022;Maret;0,85;Persen
11;Aceh;1174;Lhokseumawe;2022;April;1,25;Persen
11;Aceh;1174;Lhokseumawe;2022;Mei;1,03;Persen
11;Aceh;1174;Lhokseumawe;2022;Juni;0,45;Persen
11;Aceh;1174;Lhokseumawe;2022;Juli;0,47;Persen
