bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,tahun,bulan,tingkat_inflasi_tahun_ke_tahun,satuan,
11,Aceh,1171,Banda Aceh,2017,Maret,3.08,Persen,
11,Aceh,1171,Banda Aceh,2017,April,4.11,Persen,
11,Aceh,1171,Banda Aceh,2017,Mei,4.24,Persen,
11,Aceh,1171,Banda Aceh,2017,Juni,3.94,Persen,
11,Aceh,1171,Banda Aceh,2017,Juli,3.51,Persen,
11,Aceh,1171,Banda Aceh,2017,Agustus,4.31,Persen,
11,Aceh,1171,Banda Aceh,2017,September,4.14,Persen,
11,Aceh,1171,Banda Aceh,2017,Oktober,4.34,Persen,
11,Aceh,1171,Banda Aceh,2017,November,4.49,Persen,
11,Aceh,1171,Banda Aceh,2017,Desember,4.86,Persen,
11,Aceh,1174,Lhokseumawe,2017,Januari,5.57,Persen,
11,Aceh,1174,Lhokseumawe,2017,Februari,4.88,Persen,
11,Aceh,1174,Lhokseumawe,2017,Maret,3.61,Persen,
11,Aceh,11.07,Lhokseumawe,2017,April,3.31,Persen,
11,Aceh,1174,Lhokseumawe,2017,Mei,3.98,Persen,
11,Aceh,1174,Lhokseumawe,2017,Juni,4.1,Persen,
11,Aceh,1174,Lhokseumawe,2017,Juli,4.3,Persen,
11,Aceh,1174,Lhokseumawe,2017,Agustus,4.92,Persen,
11,Aceh,1174,Lhokseumawe,2017,September,3.59,Persen,
11,Aceh,1174,Lhokseumawe,2017,Oktober,3.46,Persen,
11,Aceh,1174,Lhokseumawe,2017,November,3.44,Persen,
11,Aceh,1174,Lhokseumawe,2017,Desember,2.87,Persen,
11,Aceh,1107,Meulaboh,2017,Januari,4.67,Persen,
11,Aceh,1107,Meulaboh,2017,Februari,4.71,Persen,
11,Aceh,1107,Meulaboh,2017,Maret,4.72,Persen,
11,Aceh,1107,Meulaboh,2017,April,4.33,Persen,
11,Aceh,1107,Meulaboh,2017,Mei,3.98,Persen,
11,Aceh,1107,Meulaboh,2017,Juni,4.32,Persen,
11,Aceh,1107,Meulaboh,2017,Juli,3.9,Persen,
11,Aceh,1107,Meulaboh,2017,Agustus,3.62,Persen,
11,Aceh,1107,Meulaboh,2017,September,3.15,Persen,
11,Aceh,1107,Meulaboh,2017,Oktober,3.11,Persen,
11,Aceh,1107,Meulaboh,2017,November,3.86,Persen,
11,Aceh,1107,Meulaboh,2017,Desember,4.76,Persen,
11,Aceh,1171,Banda Aceh,2018,Januari,4.22,Persen,
11,Aceh,1171,Banda Aceh,2018,Februari,3.81,Persen,
11,Aceh,1171,Banda Aceh,2018,Maret,3.88,Persen,
11,Aceh,1171,Banda Aceh,2018,April,3.89,Persen,
11,Aceh,1171,Banda Aceh,2018,Mei,3.74,Persen,
11,Aceh,1171,Banda Aceh,2018,Juni,3.78,Persen,
11,Aceh,1171,Banda Aceh,2018,Juli,3.53,Persen,
11,Aceh,1171,Banda Aceh,2018,Agustus,3.61,Persen,
11,Aceh,1171,Banda Aceh,2018,September,2.2,Persen,
11,Aceh,1171,Banda Aceh,2018,Oktober,2.36,Persen,
11,Aceh,1171,Banda Aceh,2018,November,3,Persen,
11,Aceh,1171,Banda Aceh,2018,Desember,1.93,Persen,
11,Aceh,1174,Lhokseumawe,2018,Januari,2.94,Persen,
11,Aceh,1174,Lhokseumawe,2018,Februari,3.21,Persen,
11,Aceh,1174,Lhokseumawe,2018,Maret,4.42,Persen,
11,Aceh,1174,Lhokseumawe,2018,April,4.66,Persen,
11,Aceh,1174,Lhokseumawe,2018,Mei,4.45,Persen,
11,Aceh,1174,Lhokseumawe,2018,Juni,4.65,Persen,
11,Aceh,1174,Lhokseumawe,2018,Juli,4.65,Persen,
11,Aceh,1174,Lhokseumawe,2018,Agustus,3.34,Persen,
11,Aceh,1174,Lhokseumawe,2018,September,2.3,Persen,
11,Aceh,1174,Lhokseumawe,2018,Oktober,2.72,Persen,
11,Aceh,1174,Lhokseumawe,2018,November,2.7,Persen,
11,Aceh,1174,Lhokseumawe,2018,Desember,2.05,Persen,
11,Aceh,1107,Meulaboh,2018,Januari,3.23,Persen,
11,Aceh,1107,Meulaboh,2018,Februari,2.55,Persen,
11,Aceh,1107,Meulaboh,2018,Maret,2.83,Persen,
11,Aceh,1107,Meulaboh,2018,April,2.82,Persen,
11,Aceh,1107,Meulaboh,2018,Mei,3.34,Persen,
11,Aceh,1107,Meulaboh,2018,Juni,3.05,Persen,
11,Aceh,1107,Meulaboh,2018,Juli,3.77,Persen,
11,Aceh,1107,Meulaboh,2018,Agustus,3.75,Persen,
11,Aceh,1107,Meulaboh,2018,September,2.94,Persen,
11,Aceh,1107,Meulaboh,2018,Oktober,2.49,Persen,
11,Aceh,1107,Meulaboh,2018,November,1.67,Persen,
11,Aceh,1107,Meulaboh,2018,Desember,0.96,Persen,
11,Aceh,1171,Banda Aceh,2019,Januari,2.71,Persen,
11,Aceh,1171,Banda Aceh,2019,Februari,2.37,Persen,
11,Aceh,1171,Banda Aceh,2019,Maret,2.01,Persen,
11,Aceh,1171,Banda Aceh,2019,April,2.47,Persen,
11,Aceh,1171,Banda Aceh,2019,Mei,3.24,Persen,
11,Aceh,1171,Banda Aceh,2019,Juni,2.77,Persen,
11,Aceh,1171,Banda Aceh,2019,Juli,2.44,Persen,
11,Aceh,1171,Banda Aceh,2019,Agustus,2.01,Persen,
11,Aceh,1171,Banda Aceh,2019,September,2.22,Persen,
11,Aceh,1171,Banda Aceh,2019,Oktober,1.96,Persen,
11,Aceh,1171,Banda Aceh,2019,November,1.05,Persen,
11,Aceh,1171,Banda Aceh,2019,Desember,1.38,Persen,
11,Aceh,1174,Lhokseumawe,2019,Januari,1.86,Persen,
11,Aceh,1174,Lhokseumawe,2019,Februari,1.71,Persen,
11,Aceh,1174,Lhokseumawe,2019,Maret,1.5,Persen,
11,Aceh,1174,Lhokseumawe,2019,April,2.61,Persen,
11,Aceh,1174,Lhokseumawe,2019,Mei,2.78,Persen,
11,Aceh,1174,Lhokseumawe,2019,Juni,1.97,Persen,
11,Aceh,1174,Lhokseumawe,2019,Juli,1.84,Persen,
